state,road,sample_ID,distance_cm,avg_outlier,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,sus_avg,sus_stdv,traffic_vol,traffic_class
Minnesota,Shepard Road,S10,10,average,0.00313,0.00242,0.00229,0.00315,0.0034,0.00356,0.00353,,,,,0.003068571,0.000516637,18000.00,high
Minnesota,Shepard Road,S50,50,average,0.00154,0.00143,0.00135,0.00203,0.00196,0.00188,0.00191,,,,,0.001728571,0.00027937,18000.00,high
Minnesota,Shepard Road,S150,150,average,0.000835,0.000921,0.000837,0.000828,0.000799,0.000771,,,,,,0.000831833,5.05585E-05,18000.00,high
Minnesota,Shepard Road,S250,250,average,0.00129,0.00103,0.00108,0.00122,0.000708,0.00077,0.00082,,,,,0.000988286,0.000227084,18000.00,high
Minnesota,Shepard Road,S100,100,average,0.000802,0.000957,0.000801,0.000977,0.000954,0.000941,,,,,,0.000905333,8.12519E-05,18000.00,high
Minnesota,Shepard Road,S700,700,average,0.000714,0.000662,0.000668,0.000525,0.000505,0.000492,,,,,,0.000594333,9.75555E-05,18000.00,high
Minnesota,Shepard Road,S760,760,average,0.000949,0.000992,0.001,0.00114,0.000973,0.00112,0.000973,,,,,0.001021,7.64155E-05,18000.00,high
Minnesota,Mississippi River Boulevard,M10,10,average,0.000868,0.000877,0.000882,0.00107,0.00103,0.000969,,,,,,0.000949333,8.69889E-05,3800.00,medium
Minnesota,Mississippi River Boulevard,M50,50,average,0.00067,0.000721,0.000722,0.00101,0.000991,0.000999,,,,,,0.000852167,0.000163143,3800.00,medium
Minnesota,Mississippi River Boulevard,M150,150,average,0.000784,0.00068,0.000624,0.000842,0.000803,0.000787,,,,,,0.000753333,8.30751E-05,3800.00,medium
Minnesota,Mississippi River Boulevard,M100,100,average,0.00071,0.000598,0.000663,0.000772,0.000743,0.000714,0.000725,,,,,0.000703571,5.72097E-05,3800.00,medium
Minnesota,Mississippi River Boulevard,M600,600,outlier,0.00374,0.00371,0.00341,,,,,,,,,0.00362,0.000182483,3800.00,medium
Minnesota,Mississippi River Boulevard,M600,600,average,0.000486,0.000463,0.000452,0.000426,0.000424,0.000384,,,,,,0.000439167,3.57011E-05,3800.00,medium
Minnesota,Mississippi River Boulevard,M880,880,average,0.000972,0.000876,0.000872,0.000811,0.000727,0.000885,,,,,,0.000857167,8.19888E-05,3800.00,medium
Minnesota,Brimhall Street,B10,10,average,0.00154,0.00136,0.00183,0.000611,0.000473,0.000566,0.000552,,,,,0.000990286,0.000566796,,low
Minnesota,Brimhall Street,B50,50,average,0.000655,0.000665,0.000638,0.000479,0.000526,0.000508,,,,,,0.0005785,8.3068E-05,,low
Minnesota,Brimhall Street,B100,100,average,0.000324,0.000292,0.000287,0.000665,0.00053,0.000547,,,,,,0.000440833,0.000160586,,low
Minnesota,Brimhall Street,B100,100,outlier,0.00128,0.00127,0.00147,,,,,,,,,0.00134,0.000112694,,low
Minnesota,Brimhall Street,B150,150,average,0.000574,0.000593,0.000601,0.000624,0.000616,0.000613,,,,,,0.0006035,1.81852E-05,,low
Minnesota,Brimhall Street,B250,250,average,0.000656,0.000701,0.000701,0.000685,0.000648,0.000558,0.000492,0.000457,0.000403,,,0.000589,0.000114381,,low
Minnesota,Brimhall Street,B550,550,average,0.000494,0.000567,0.000538,0.000616,0.000553,0.000652,,,,,,0.00057,5.64588E-05,,low
Minnesota,Brimhall Street,B600,600,average,0.000615,0.000622,0.000635,0.000423,0.000442,0.000423,,,,,,0.000526667,0.000107041,,low
Georgia,George Rice Drive,C10,10,average,0.000669,0.000644,0.000862,0.000856,0.00087,0.000279,0.000309,0.000283,0.000282,0.000361,0.000303,0.000519818,0.000260331,,low
Georgia,George Rice Drive,C50,50,average,0.000771,0.00075,0.000692,0.000334,0.000313,0.000316,0.000448,0.000428,0.000416,,,0.000496444,0.00018842,,low
Georgia,George Rice Drive,C100,100,average,0.000407,0.000408,0.00038,0.000385,0.000356,0.000321,0.000584,0.000438,0.000571,,,0.000427778,9.11808E-05,,low
Georgia,George Rice Drive,C150,150,outlier,0.000962,0.000942,0.000992,,,,,,,,,0.000965333,2.51661E-05,,low
Georgia,George Rice Drive,C150,150,average,0.000376,0.000354,0.000363,0.000284,0.00026,0.000241,,,,,,0.000313,5.82821E-05,,low
Georgia,George Rice Drive,C300,300,average,0.000351,0.000321,0.000323,0.00035,0.000323,0.000324,0.000394,0.000363,0.00038,,,0.000347667,2.72305E-05,,low
Georgia,George Rice Drive,C600,600,average,0.000369,0.000406,0.000433,0.000349,0.00035,0.000366,0.000326,0.000349,0.000339,,,0.000365222,3.40139E-05,,low
Georgia,I-75 Walnut Avenue Offramp,I50,50,average,0.000694,0.000734,0.00072,0.00066,0.00071,0.000763,0.000791,,,,,0.000724571,4.34276E-05,5890.00,medium
Georgia,I-75 Walnut Avenue Offramp,I100,100,average,0.000803,0.000864,0.000774,0.000586,0.000507,0.000547,,,,,,0.000680167,0.000151179,5890.00,medium
Georgia,I-75 Walnut Avenue Offramp,I150,150,average,0.000323,0.000282,0.000458,0.000476,0.000427,0.000417,,,,,,0.000397167,7.74117E-05,5890.00,medium
Georgia,I-75 Walnut Avenue Offramp,I200,200,average,0.000346,0.000327,0.000331,0.000689,0.000559,0.000665,,,,,,0.000486167,0.000171747,5890.00,medium
Georgia,I-75 Walnut Avenue Offramp,I300,300,average,0.000285,0.000348,0.000279,0.000271,0.000254,0.00024,,,,,,0.0002795,3.74313E-05,5890.00,medium
